artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
Death Cab for Cutie,Thank You for Today,When We Drive,229306.0,False,48.0,0.72,0.628,11.0,-8.759,0.0,0.0302,0.405,0.0201,0.311,0.524,103.576,4.0,indie pop; indie rock; modern rock; pop rock; washington indie,70.0,,album,59.0,2018-08-17,day
Death From Above 1979,Outrage! Is Now,Freeze Me,198081.0,False,58.0,0.511,0.7240000000000001,0.0,-5.9270000000000005,1.0,0.0311,0.000826,0.00019,0.23,0.536,130.029,4.0,alternative dance; alternative rock; canadian rock; dance-punk; garage rock; indie rock; indietronica; modern alternative rock; modern rock; new rave; punk blues; rock,57.0,,album,59.0,2017-09-08,day
Deca,Flux,Threshold,137665.0,False,41.0,0.701,0.701,10.0,-7.496,0.0,0.145,0.135,0.294,0.122,0.857,174.085,4.0,jazz rap; nyc rap,49.0,,album,43.0,2018-06-15,day
Declan McKenna,Beautiful Faces,Beautiful Faces,196773.0,False,38.0,0.502,0.9,0.0,-1.516,1.0,0.0419,0.0166,2.79e-06,0.225,0.705,98.92,4.0,indie pop; modern alternative rock; modern rock; pop; rock,69.0,,single,35.0,2020-01-29,day
Declan McKenna,What Do You Think About the Car?,Brazil,252306.0,False,71.0,0.687,0.617,4.0,-5.212999999999999,1.0,0.0287,0.0941,1.32e-05,0.0898,0.665,121.08,4.0,indie pop; modern alternative rock; modern rock; pop; rock,69.0,,album,74.0,2017-07-21,day
Deeb,Stuck,Stuck,134831.0,False,49.0,0.614,0.279,4.0,-14.6,0.0,0.046,0.695,0.8079999999999999,0.0991,0.498,88.96799999999998,4.0,chillhop; jazz boom bap,48.0,,single,46.0,2019-12-02,day
Deep Sea Diver,Impossible Weight,Lights Out,229813.0,False,37.0,0.486,0.8909999999999999,6.0,-5.5779999999999985,1.0,0.054000000000000006,0.00112,0.00228,0.0976,0.247,85.538,4.0,indie surf; seattle indie; stomp and holler,47.0,,album,49.0,2020-10-16,day
Deerhunter,Halcyon Digest,Desire Lines,404413.0,False,50.0,0.318,0.918,2.0,-6.289,1.0,0.0374,0.0559,0.297,0.659,0.602,120.567,4.0,alternative dance; alternative rock; art pop; atlanta indie; chillwave; dance-punk; dream pop; electronica; experimental rock; freak folk; garage psych; indie pop; indie rock; lo-fi; modern alternative rock; modern rock; neo-psychedelic; new rave; noise pop; noise rock; nu gaze; shoegaze,54.0,,album,57.0,2010-09-27,day
Deerhunter,Halcyon Digest,Helicopter,298173.0,False,45.0,0.503,0.718,4.0,-7.202000000000001,1.0,0.039,0.219,0.511,0.258,0.419,73.98899999999998,4.0,alternative dance; alternative rock; art pop; atlanta indie; chillwave; dance-punk; dream pop; electronica; experimental rock; freak folk; garage psych; indie pop; indie rock; lo-fi; modern alternative rock; modern rock; neo-psychedelic; new rave; noise pop; noise rock; nu gaze; shoegaze,54.0,,album,57.0,2010-09-27,day
Deftones,Prayers / Triangles,Prayers / Triangles - Com Truise Remix,215172.0,False,31.0,0.637,0.489,5.0,-7.261,0.0,0.0424,0.00202,0.0265,0.138,0.376,174.02900000000002,4.0,alternative metal; nu metal; rap metal; rock; sacramento indie,72.0,,single,28.0,2016-06-24,day
Delachute,Caligula,Caligula,223911.0,True,43.0,0.589,0.403,7.0,-12.192,1.0,0.0374,0.7240000000000001,0.866,0.114,0.251,117.026,4.0,,38.0,,single,40.0,2020-06-12,day
Delete Insert,Chess,Chess,155656.0,False,39.0,0.466,0.978,3.0,-3.054,1.0,0.0439,0.0642,0.88,0.183,0.7140000000000001,111.238,4.0,,30.0,,single,36.0,2019-03-22,day
Delicate Steve,Positive Force,Positive Force,269640.0,False,42.0,0.602,0.595,2.0,-10.784,1.0,0.0366,0.344,0.851,0.0611,0.457,94.996,4.0,new jersey indie; shimmer pop,44.0,,album,45.0,2012-07-10,day
Delta Sleep,Ghost City,Sultans of Ping,286116.0,False,39.0,0.166,0.669,9.0,-8.427999999999999,1.0,0.038,0.217,0.00905,0.146,0.263,82.961,3.0,brighton indie; british math rock; progressive post-hardcore,48.0,,album,45.0,2018-08-10,day
